sample_index,real_time_s,raw_adc,amplitude
413,20:40:15.979,3813,0.8623
414,20:40:15.980,3816,0.8637
415,20:40:15.980,3808,0.8598
416,20:40:15.981,3816,0.8637
417,20:40:15.981,3804,0.8579
418,20:40:15.982,3805,0.8584
419,20:40:15.982,3811,0.8613
420,20:40:15.983,3797,0.8545
421,20:40:15.983,3803,0.8574
422,20:40:15.984,3794,0.8530
423,20:40:15.984,3788,0.8501
424,20:40:15.985,3802,0.8569
425,20:40:15.985,3762,0.8374
426,20:40:15.986,3783,0.8476
427,20:40:15.986,3781,0.8466
428,20:40:15.987,3775,0.8437
429,20:40:15.987,3784,0.8481
430,20:40:15.988,3780,0.8462
431,20:40:15.988,3783,0.8476
432,20:40:15.989,3783,0.8476
433,20:40:15.989,3780,0.8462
434,20:40:15.990,3774,0.8432
435,20:40:15.990,3783,0.8476
436,20:40:15.991,3789,0.8505
437,20:40:15.991,3787,0.8496
438,20:40:15.992,3791,0.8515
439,20:40:15.992,3800,0.8559
440,20:40:15.993,3788,0.8501
441,20:40:15.993,3804,0.8579
442,20:40:15.994,3797,0.8545
443,20:40:15.994,3808,0.8598
444,20:40:15.995,3794,0.8530
445,20:40:15.995,3809,0.8603
446,20:40:15.996,3816,0.8637
447,20:40:15.996,3812,0.8618
448,20:40:15.997,3821,0.8662
449,20:40:15.997,3813,0.8623
450,20:40:15.998,3821,0.8662
451,20:40:15.998,3815,0.8632
452,20:40:15.999,3821,0.8662
453,20:40:15.999,3813,0.8623
454,20:40:16.000,3816,0.8637
455,20:40:16.000,3819,0.8652
456,20:40:16.001,3815,0.8632
457,20:40:16.001,3816,0.8637
458,20:40:16.002,3801,0.8564
459,20:40:16.002,3801,0.8564
460,20:40:16.003,3796,0.8540
461,20:40:16.003,3788,0.8501
462,20:40:16.004,3800,0.8559
463,20:40:16.004,3797,0.8545
464,20:40:16.005,3785,0.8486
465,20:40:16.005,3780,0.8462
466,20:40:16.006,3785,0.8486
467,20:40:16.006,3778,0.8452
468,20:40:16.007,3776,0.8442
469,20:40:16.007,3780,0.8462
470,20:40:16.008,3798,0.8549
471,20:40:16.008,3782,0.8471
472,20:40:16.009,3785,0.8486
473,20:40:16.009,3780,0.8462
474,20:40:16.010,3781,0.8466
475,20:40:16.010,3781,0.8466
476,20:40:16.011,3785,0.8486
477,20:40:16.011,3776,0.8442
478,20:40:16.012,3796,0.8540
479,20:40:16.012,3792,0.8520
480,20:40:16.013,3847,0.8789
481,20:40:16.013,3809,0.8603
482,20:40:16.014,3771,0.8418
483,20:40:16.014,3794,0.8530
484,20:40:16.015,3813,0.8623
485,20:40:16.015,3818,0.8647
486,20:40:16.016,3818,0.8647
487,20:40:16.016,3812,0.8618
488,20:40:16.017,3820,0.8657
489,20:40:16.017,3835,0.8730
490,20:40:16.018,3818,0.8647
491,20:40:16.018,3817,0.8642
492,20:40:16.019,3819,0.8652
493,20:40:16.019,3821,0.8662
494,20:40:16.020,3815,0.8632
495,20:40:16.020,3819,0.8652
496,20:40:16.021,3810,0.8608
497,20:40:16.021,3814,0.8628
498,20:40:16.022,3798,0.8549
499,20:40:16.022,3807,0.8593
500,20:40:16.023,3800,0.8559
501,20:40:16.023,3738,0.8256
502,20:40:16.024,3800,0.8559
503,20:40:16.024,3805,0.8584
504,20:40:16.025,3813,0.8623
505,20:40:16.025,3784,0.8481
506,20:40:16.026,3776,0.8442
507,20:40:16.026,3784,0.8481
508,20:40:16.027,3780,0.8462
509,20:40:16.027,3775,0.8437
510,20:40:16.028,3782,0.8471
511,20:40:16.028,3784,0.8481
512,20:40:16.029,3788,0.8501
513,20:40:16.029,3779,0.8457
514,20:40:16.030,3772,0.8422
515,20:40:16.030,3792,0.8520
516,20:40:16.031,3787,0.8496
517,20:40:16.031,3781,0.8466
518,20:40:16.032,3798,0.8549
519,20:40:16.032,3788,0.8501
520,20:40:16.033,3796,0.8540
521,20:40:16.033,3801,0.8564
522,20:40:16.034,3806,0.8589
523,20:40:16.034,3805,0.8584
524,20:40:16.035,3799,0.8554
525,20:40:16.035,3817,0.8642
526,20:40:16.036,3812,0.8618
527,20:40:16.036,3819,0.8652
528,20:40:16.037,3816,0.8637
529,20:40:16.037,3796,0.8540
530,20:40:16.038,3818,0.8647
531,20:40:16.038,3817,0.8642
532,20:40:16.039,3805,0.8584
533,20:40:16.039,3818,0.8647
534,20:40:16.040,3816,0.8637
535,20:40:16.040,3811,0.8613
536,20:40:16.041,3817,0.8642
537,20:40:16.041,3818,0.8647
538,20:40:16.042,3791,0.8515
539,20:40:16.042,3805,0.8584
540,20:40:16.043,3792,0.8520
541,20:40:16.043,3793,0.8525
542,20:40:16.044,3800,0.8559
543,20:40:16.044,3805,0.8584
544,20:40:16.045,3793,0.8525
545,20:40:16.045,3775,0.8437
546,20:40:16.046,3795,0.8535
547,20:40:16.046,3779,0.8457
548,20:40:16.047,3776,0.8442
549,20:40:16.047,3782,0.8471
